                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4116,                  2.815,                 1.7548,                0.61343,                0.88258,                 0.8879,                 0.6156,                 1.3926,                 1.3292,                 1.2503,                      0,                      0,                      0
                      2,                 1.2487,                 2.6208,                 1.4408,                0.59672,                0.89735,                0.88811,                0.61799,                 1.4046,                 1.3533,                 1.2564,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1416,                 4.2177,                 1.4952,                0.57906,                0.83333,                0.87397,                0.61303,                 1.4193,                 1.3854,                 1.2631,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                  1.266,                 2.6681,                 1.4492,                0.54577,                0.85518,                0.87205,                0.60506,                 1.4537,                 1.4202,                 1.2788,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.3365,                 2.8559,                 1.6306,                0.56995,                0.83333,                0.87216,                0.59728,                 1.4799,                  1.454,                 1.2952,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.6314,                 4.7085,                 1.9234,                0.85308,                0.57292,                0.87404,                0.58056,                  1.491,                 1.5091,                 1.3101,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                  1.391,                 2.0815,                 1.5495,                0.83811,                0.56667,                0.88594,                0.57715,                 1.5052,                 1.5496,                 1.3206,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.5171,                 3.1413,                 1.7832,                0.83521,                0.56667,                0.88234,                 0.5469,                 1.5182,                 1.6305,                 1.3419,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.0736,                 2.5904,                 1.3544,                0.81788,                0.56667,                0.77945,                 0.5384,                 1.5435,                 1.6939,                 1.3605,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.97614,                 3.3389,                 1.4913,                0.79564,                0.56667,                0.74397,                0.53444,                 1.5546,                 1.7402,                 1.3765,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.3531,                 2.7431,                  1.537,                0.79587,                0.58333,                0.74426,                 0.5345,                 1.5538,                 1.7515,                 1.3763,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0351,                 2.0478,                 1.3947,                0.77386,                0.58333,                0.74434,                0.53466,                 1.5524,                 1.7695,                 1.3751,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.96673,                 2.5655,                 1.2299,                0.74727,                0.58333,                0.74415,                0.53464,                 1.5238,                 1.7837,                  1.359,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.3797,                 2.4207,                 1.7914,                0.76665,                0.58333,                0.74312,                0.52637,                 1.5119,                 1.8137,                  1.354,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.81763,                 1.6948,                 1.1197,                 0.7899,                0.41667,                0.74164,                0.53949,                 1.5066,                 1.8301,                 1.3477,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.0839,                  2.126,                 1.5173,                0.92728,                0.37327,                0.74167,                 0.5346,                 1.5189,                 1.8532,                 1.3558,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.82412,                 1.6473,                 1.1579,                0.92688,                0.37337,                0.65989,                0.49842,                 1.5203,                 1.8838,                 1.3591,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.1216,                 1.6032,                 1.3436,                0.92688,                0.37337,                0.65989,                0.49842,                 1.5203,                 1.8838,                 1.3591,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.96987,                 1.6818,                 1.1624,                0.92619,                0.37339,                0.63233,                0.48466,                 1.5635,                 1.9788,                 1.3719,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                  1.016,                  1.602,                 1.3227,                0.92619,                0.37339,                0.63233,                0.48466,                 1.5635,                 1.9788,                 1.3719,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.2489,                 2.7452,                 1.6402,                 0.9206,                0.37327,                0.60385,                0.46531,                 1.5946,                 2.0699,                 1.4056,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.2755,                 2.4912,                 1.6765,                 0.9206,                0.37327,                0.60385,                0.46531,                 1.5946,                 2.0699,                 1.4056,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.93999,                 1.9044,                 1.4104,                0.91705,                0.37321,                0.59251,                0.46324,                 1.5955,                 2.1291,                 1.4128,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.0485,                 2.1852,                 1.5333,                0.91705,                0.37321,                0.59251,                0.46324,                 1.5955,                 2.1291,                 1.4128,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.84303,                 1.6285,                  1.253,                0.91997,                0.37331,                0.58328,                0.44108,                 1.6179,                 2.2113,                 1.4432,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.96126,                 1.9001,                 1.3814,                0.91997,                0.37331,                0.58328,                0.44108,                 1.6179,                 2.2113,                 1.4432,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.87347,                 1.8977,                 1.3786,                0.91543,                0.37309,                0.57623,                0.44031,                 1.6466,                 2.2655,                 1.4739,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.81449,                 1.1809,                  1.175,                0.91543,                0.37309,                0.57623,                0.44031,                 1.6466,                 2.2655,                 1.4739,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.91969,                 1.5286,                 1.2557,                0.91591,                0.37318,                0.57623,                0.44028,                 1.6502,                 2.2854,                 1.4857,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.3006,                 2.5614,                  1.583,                0.91591,                0.37318,                0.57623,                0.44028,                 1.6502,                 2.2854,                 1.4857,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.93561,                 1.2652,                 1.2382,                0.91633,                0.37335,                0.57568,                0.43867,                 1.6794,                 2.3046,                 1.4966,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.64433,                 1.3436,                 1.1448,                0.91633,                0.37335,                0.57568,                0.43867,                 1.6794,                 2.3046,                 1.4966,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.90577,                 1.2079,                 1.4942,                0.91841,                0.37339,                0.46653,                0.33946,                  1.673,                 2.2954,                 1.5075,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 0.9687,                 1.1519,                 1.2939,                0.91841,                0.37339,                0.46653,                0.33946,                  1.673,                 2.2954,                 1.5075,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.94967,                 1.9636,                 1.3087,                0.91482,                0.37313,                0.45291,                0.31256,                 1.6702,                 2.2964,                 1.5036,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.82424,                 1.4595,                 1.2206,                0.91482,                0.37313,                0.45291,                0.31256,                 1.6702,                 2.2964,                 1.5036,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.73634,                 1.2907,                 1.1443,                 0.9175,                0.37324,                 0.4516,                0.30231,                 1.6816,                 2.3156,                 1.5132,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.47505,                0.96523,                0.96226,                 0.9175,                0.37324,                 0.4516,                0.30231,                 1.6816,                 2.3156,                 1.5132,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.80066,                0.90127,                 1.0907,                0.91536,                 0.3728,                0.45228,                0.30377,                 1.6854,                 2.3241,                 1.5135,             2.8208e-05,             2.8208e-05,             2.8208e-05
